phi,energy,time,N_Ra226,N_Ra225,N_Ac225
201650138857632.75,0.03549818346937176,31.44990858310834,6.0218752621897095e+23,1.1193178673834437e+19,3.3430365310884154e+17
476897630945872.44,1.2769169416073918,297.7000933181487,6.021480762905372e+23,3.2720610827431686e+19,7.806466424460732e+18
318848621444836.6,38.96164396133732,139.2091767644036,6.0219341954444805e+23,2.1363268554462728e+18,2.6352977848777875e+17
79811003973695.03,150740.51828904828,478.10414381840644,6.021857377131409e+23,2.1962062304726772e+16,7522414336930610.0
36079960303042.266,40.365105598884,146.48180591189407,6.021953554593734e+23,2.4823404789428915e+17,3.207157176551199e+16
10189560446421.35,429765.0941087257,161.37264619511183,6.021951965785463e+23,738291716400000.4,104088894825158.05
474689424785153.8,122.64590724001847,272.21284597782596,6.021878993538775e+23,3.107786028820229e+18,6.889319025100086e+17
776700098625960.2,367856.54669528385,300.6553518574403,6.021909203449078e+23,1.000170971554755e+17,2.405389643606031e+16
990292496861788.2,0.19917958280915563,26.544680614691135,6.021790205824483e+23,1.967883445199433e+19,4.976477638537581e+17
332964303405448.75,9.923157874118575,71.80735980671994,6.0219526128700925e+23,2.4287328630061353e+18,1.613684058216298e+17
39814253709723.97,0.0606393417639292,280.0120943889643,6.021761485264929e+23,1.1975720968542693e+19,2.717454182568057e+18
79788584164286.97,0.2013174792143201,282.1541154590479,6.0217440454859236e+23,1.3247353796618971e+19,3.0249185638650317e+18
48178155835283.23,5.113296947691639,257.2303570850423,6.0219046608784205e+23,1.4792841541652111e+18,3.128206236683059e+17
68497176556387.266,0.1280316772102852,213.1348908065953,6.021796716547329e+23,1.1456416979162374e+19,2.0641849417245724e+18
149965997708439.84,647.2671346734385,46.28737217047179,6.0219852892725416e+23,8.945186851434445e+16,3894580715834248.0
14646809461515.572,73373.09786045487,274.17067065110297,6.021918354321117e+23,3941894012120517.5,879034822510869.5
37808767523855.875,6.827298572155456,50.5449797773318,6.021982450400632e+23,2.3881293575739994e+17,1.1322764315082876e+16
70631493091416.16,0.3547268594857044,309.9611472976005,6.021781756620031e+23,9.471352171824697e+18,2.3346686803252716e+18
10184101696453.084,72.0371139476196,423.1103335791349,6.021872340036753e+23,1.1874668819975178e+17,3.723541010593341e+16
140365771692764.77,15855.859147368832,402.65079989766133,6.021878630541411e+23,1.0680545139764274e+17,3.227805070779012e+16
529502640659316.56,0.7433234431268655,167.7560079686341,6.021596928716905e+23,3.014795182034934e+19,4.4006693200373074e+18
10602472737800.354,1020.0664339349555,204.06795509075062,6.02193903581992e+23,1.9178444009478536e+16,3327602800844002.0
135842373910214.94,49063.72077952924,440.61994742423843,6.0218679431187686e+23,6.228576672999063e+16,2.012033935103406e+16
98417103446873.39,159.71781708706257,70.1186038795336,6.0219772604597086e+23,1.750091049923662e+17,1.1366724734621262e+16
690195587070488.8,3328.9180782103726,441.61934742873336,6.021850463877949e+23,1.2166795548593242e+18,3.936760567573816e+17
207879411912300.38,4176.8340724658065,416.2257382017097,6.021871540087688e+23,3.149555212121226e+17,9.75685183765173e+16
177168171098189.22,27.22791490404555,206.8631791372734,6.021914360968624e+23,1.9833882809556324e+18,3.48227946550798e+17
93904645138212.03,1883.065919576647,442.04765048384974,6.02186516557923e+23,2.2023008558308566e+17,7.1309184487854136e+16
447641024239750.5,299.3521715585361,256.31364004892316,6.021900988528434e+23,1.7914056673323648e+18,3.776927710493167e+17
249796248068053.7,1.165172955824655,350.34237626564135,6.021617842214411e+23,2.017130541778743e+19,5.479680450961436e+18
714281614893751.6,2520.1154592195635,120.09010467934408,6.0219584032936606e+23,5.2253081682313536e+17,5.628941578020654e+16
53053021203264.04,888185.3355912309,147.93564651748954,6.0219559447669e+23,2481778624111271.5,323524877177834.6
228592357438678.03,8434.795986615256,148.84605689023235,6.021954432462555e+23,1.1031351564640216e+17,1.446056689902309e+16
320112097919006.75,310394.32146621903,187.80556827440455,6.021943737917243e+23,3.100360111957036e+16,5002113151143915.0
868900930064210.2,8967.667107385603,140.05702324758676,6.0219539130422635e+23,3.857707556340282e+17,4.785118190437485e+16
25339661604872.312,18691.026926023875,117.0254160904615,6.021965098038688e+23,6651976144731510.0,699666509851277.6
777018797126094.5,6.098524297735737,253.02566965587647,6.021651811691034e+23,2.156890441663639e+19,4.498531074303239e+18
36695583398077.34,1842.4343525417162,232.35828826763208,6.0219301677844445e+23,5.4821464422144936e+16,1.0638010961517238e+16
688619219573911.2,121454.14925289537,376.284353597939,6.021885467209397e+23,1.8092662092815088e+17,5.194208084223192e+16
329359795088745.1,442738.2826255016,220.892263346524,6.021933886241277e+23,3.048781296766973e+16,5665177073378909.0
163700861757768.62,3603.131604316564,232.0694846549348,6.02192876524759e+23,1.7470930475114064e+17,3.3866096795084812e+16
321292448885020.9,118.13887402057205,289.95925877308713,6.0218843267111386e+23,2.2475334321694513e+18,5.248148858353532e+17
672616589052624.1,307.77488606918445,258.87531450039216,6.021888936019402e+23,2.6750742459392026e+18,5.6871823869702234e+17
746936631418889.4,2254.3853242912937,480.9629477077165,6.021830928402928e+23,1.686799786237054e+18,5.80196389323868e+17
71849327927443.86,0.14266217089668168,80.90918622798924,6.021923164345908e+23,4.88277350022673e+18,3.634061075076302e+17
40622766706977.445,70070.33886964306,14.881743716724504,6.0219955632456574e+23,771650406282086.4,11022769266718.688
28016328990613.875,137.4865575634087,88.11819590211196,6.0219730536650525e+23,6.634336745112157e+16,5352764844008384.0
189874785055355.28,0.23248299670305045,29.766976764412213,6.021950960403883e+23,3.904353397910752e+18,1.1049006010988779e+17
831042237342943.2,309243.45803228015,308.92269834306046,6.021906480353922e+23,1.1906239934424082e+17,2.9269275129901104e+16
26409766320638.88,0.32381565719912203,402.16122885433157,6.0218163385880474e+23,4.443154026082145e+18,1.341558329551821e+18
174491681216506.25,0.47341443768428443,404.10542812183036,6.021528466538249e+23,2.4355645993781817e+19,7.380609071247344e+18
15219456504125.387,109.5604155095752,326.7747295363705,6.021901121328318e+23,1.2064942325567904e+17,3.1024164972104052e+16
119147568503761.27,68823.25448449128,350.03958978391233,6.0218952813502796e+23,3.956485990366346e+16,1.074073512563816e+16
187942286228505.53,631563.0005573394,417.1955732522431,6.021875502303973e+23,2.3191807712788036e+16,7196892336244697.0
950389640021467.2,1.7216959038259025,202.41957577761946,6.021437223065647e+23,4.156719294274439e+19,7.161556702623626e+18
531532511803960.0,33654.33308863074,171.88045100282125,6.021947140154507e+23,1.4518064527555178e+17,2.16556883904947e+16
25311157859119.586,49.67966471068809,95.697241300225,6.021970341824759e+23,1.0751707136039843e+17,9375143904573912.0
60754303555531.98,484189.85794297664,49.9711384990373,6.021985113246743e+23,1425403769263811.2,66839680879051.89
44499100245468.766,1.8842938410063048,66.70622555639642,6.0219727353873365e+23,6.953142850319341e+17,4.305690942469488e+16
14003220715809.695,27130.80575759421,284.91124982014026,6.021915125672242e+23,6379709738147193.0,1468428178290881.5
218844467560528.5,23103.64137892639,205.64978238508215,6.021937782346332e+23,8.37042156910246e+16,1.4621186142121438e+16
69180078459768.23,31.330051458166857,13.393175282017827,6.021995446673712e+23,5.601084242410009e+16,720758899899956.2
17047755861490.164,0.29922995922976686,82.28661132544234,6.021966720559826e+23,8.125150859087421e+17,6.144737406791022e+16
39673132458258.54,648.5515031753118,171.77563761879915,6.0219479611278257e+23,7.801900871910152e+16,1.1631287294612206e+16
738126299280563.2,64617.79977571061,297.97614247080486,6.0219083547293556e+23,2.2529237986743674e+17,5.378998705453054e+16
906010443281542.0,0.15007307849461538,268.1519478424928,6.019770917550897e+23,1.67610177482272e+20,3.669747182974569e+19
12525838031545.127,1624.8152043670095,423.0721523958193,6.0218736409787626e+23,3.075080541285226e+16,9641890169841334.0
97192452739775.56,0.026417253212493934,367.60663718924246,6.021137155536484e+23,5.38855862464895e+19,1.5195437123002726e+19
510976827326324.2,317.5570579265072,363.2032643178737,6.0218562107037584e+23,2.5627487259472e+18,7.159719727848659e+17
230739520188084.06,61.27167086720403,300.83288295990656,6.0218800738908164e+23,2.3032440813098094e+18,5.5419096758448237e+17
