time_h,N_Ra226,N_Ac225
0.0,6.022e+23,0.0
0.4,6.021999013788834e+23,8.66663189611327e+16
0.8,6.0219980275778314e+23,1.7323175419089568e+17
1.2000000000000002,6.0219970413669906e+23,2.5969642310636144e+17
1.6,6.0219960551563116e+23,3.4606044298796314e+17
2.0,6.021995068945794e+23,4.32323930979359e+17
2.4000000000000004,6.021994082735438e+23,5.184870040876142e+17
2.8000000000000003,6.0219930965252434e+23,6.045497791846601e+17
3.2,6.02199211031521e+23,6.905123730058573e+17
3.6,6.021991124105339e+23,7.76374902149949e+17
4.0,6.021990137895629e+23,8.621374830801075e+17
4.4,6.02198915168608e+23,9.478002321256686e+17
4.800000000000001,6.021988165476693e+23,1.0333632654791392e+18
5.2,6.021987179267468e+23,1.1188266991971487e+18
5.6000000000000005,6.021986193058403e+23,1.2041906492024443e+18
6.0,6.021985206849501e+23,1.2894552312833196e+18
6.4,6.0219842206407597e+23,1.3746205610920192e+18
6.800000000000001,6.0219832344321804e+23,1.459686754145376e+18
7.2,6.021982248223763e+23,1.544653925829403e+18
7.6000000000000005,6.0219812620155065e+23,1.629522191392512e+18
8.0,6.021980275807411e+23,1.7142916659495158e+18
8.4,6.021979289599478e+23,1.7989624644863414e+18
8.8,6.021978303391706e+23,1.8835347018632904e+18
9.200000000000001,6.021977317184095e+23,1.9680084927954358e+18
9.600000000000001,6.021976330976646e+23,2.0523839518633582e+18
10.0,6.021975344769359e+23,2.1366611935137475e+18
10.4,6.021974358562233e+23,2.2208403320595717e+18
10.8,6.0219733723552685e+23,2.304921481680243e+18
11.200000000000001,6.021972386148466e+23,2.3889047564217846e+18
11.600000000000001,6.0219713999418245e+23,2.472790270196998e+18
12.0,6.0219704137353445e+23,2.556578136785631e+18
12.4,6.021969427529026e+23,2.640268469834545e+18
12.8,6.0219684413228695e+23,2.7238613828578785e+18
13.200000000000001,6.021967455116874e+23,2.80735698923722e+18
13.600000000000001,6.02196646891104e+23,2.890755402221769e+18
14.0,6.021965482705368e+23,2.974056734928509e+18
14.4,6.021964496499857e+23,3.057261100342369e+18
14.8,6.021963510294508e+23,3.140368611316394e+18
15.200000000000001,6.02196252408932e+23,3.2233793805719127e+18
15.600000000000001,6.021961537884294e+23,3.3062935206987013e+18
16.0,6.0219605516794296e+23,3.3891111441560893e+18
16.400000000000002,6.021959565474726e+23,3.4718323632952e+18
16.8,6.0219585792701846e+23,3.554457290327504e+18
17.2,6.0219575930658044e+23,3.6369860373252127e+18
17.6,6.021956606861585e+23,3.7194187162303703e+18
18.0,6.021955620657528e+23,3.8017554388550333e+18
18.400000000000002,6.021954634453632e+23,3.883996316881461e+18
18.8,6.021953648249898e+23,3.9661414618622935e+18
19.200000000000003,6.021952662046325e+23,4.048190985220741e+18
19.6,6.021951675842914e+23,4.1301449982507643e+18
20.0,6.0219506896396645e+23,4.2120036121172634e+18
20.400000000000002,6.021949703436576e+23,4.293766937856259e+18
20.8,6.0219487172336495e+23,4.375435086375076e+18
21.200000000000003,6.0219477310308845e+23,4.457008168452531e+18
21.6,6.0219467448282807e+23,4.538486294739115e+18
22.0,6.0219457586258385e+23,4.619869575757177e+18
22.400000000000002,6.021944772423558e+23,4.70115812190111e+18
22.8,6.021943786221439e+23,4.782352043437535e+18
23.200000000000003,6.021942800019481e+23,4.863451450505485e+18
23.6,6.021941813817685e+23,4.944456453116587e+18
24.0,6.0219408276160505e+23,5.025367161142448e+18
24.400000000000002,6.0219398414145774e+23,5.106183684298144e+18
24.8,6.021938855213266e+23,5.186906132201466e+18
25.200000000000003,6.021937869012116e+23,5.267534614344983e+18
25.6,6.021936882811127e+23,5.348069240093912e+18
26.0,6.0219358966103004e+23,5.428510118686284e+18
26.400000000000002,6.0219349104096346e+23,5.508857359233093e+18
26.8,6.0219339242091306e+23,5.589111070718456e+18
27.200000000000003,6.021932938008788e+23,5.669271361999773e+18
27.6,6.021931951808607e+23,5.74933834180788e+18
28.0,6.0219309656085876e+23,5.82931211874721e+18
28.400000000000002,6.02192997940873e+23,5.909192801295949e+18
28.8,6.021928993209033e+23,5.988980497806191e+18
29.200000000000003,6.021928007009498e+23,6.068675316504101e+18
29.6,6.021927020810125e+23,6.148277365490063e+18
30.0,6.021926034610913e+23,6.227786752738851e+18
30.400000000000002,6.021925048411862e+23,6.307203586099771e+18
30.8,6.0219240622129735e+23,6.386527973296829e+18
31.200000000000003,6.021923076014246e+23,6.465760021928886e+18
31.6,6.02192208981568e+23,6.544899839469623e+18
32.0,6.021921103617276e+23,6.623947533257453e+18
32.4,6.0219201174190326e+23,6.702903210508336e+18
32.800000000000004,6.021919131220951e+23,6.78176697831877e+18
33.2,6.021918145023031e+23,6.860538943660624e+18
33.6,6.021917158825273e+23,6.939219213381293e+18
34.0,6.021916172627676e+23,7.01780789420385e+18
34.4,6.02191518643024e+23,7.096305092727188e+18
34.800000000000004,6.021914200232967e+23,7.174710915426176e+18
35.2,6.0219132140358545e+23,7.2530254686518e+18
35.6,6.021912227838903e+23,7.331248858631318e+18
36.0,6.021911241642114e+23,7.409381191468407e+18
36.4,6.021910255445486e+23,7.487422573143313e+18
36.800000000000004,6.02190926924902e+23,7.565373109513001e+18
37.2,6.021908283052715e+23,7.643232906311296e+18
37.6,6.0219072968565714e+23,7.721002069149041e+18
38.0,6.02190631066059e+23,7.798680703514244e+18
38.400000000000006,6.021905324464769e+23,7.876268914772226e+18
38.800000000000004,6.0219043382691106e+23,7.953766808165764e+18
39.2,6.0219033520736135e+23,8.031174488815252e+18
39.6,6.0219023658782776e+23,8.108492061717617e+18
40.0,6.021901379683103e+23,8.185719631743551e+18
40.400000000000006,6.021900393488091e+23,8.262857303645415e+18
40.800000000000004,6.0218994072932393e+23,8.339905182054131e+18
41.2,6.0218984210985496e+23,8.416863371478868e+18
41.6,6.0218974349040216e+23,8.493731976307191e+18
42.0,6.021896448709655e+23,8.570511100805202e+18
42.400000000000006,6.0218954625154495e+23,8.647200849117687e+18
42.800000000000004,6.0218944763214054e+23,8.723801325268259e+18
43.2,6.021893490127524e+23,8.800312633159511e+18
43.6,6.021892503933803e+23,8.876734876573151e+18
44.0,6.0218915177402434e+23,8.953068159170159e+18
44.400000000000006,6.0218905315468455e+23,9.029312584490922e+18
44.800000000000004,6.0218895453536094e+23,9.105468255955385e+18
45.2,6.021888559160535e+23,9.181535276863197e+18
45.6,6.0218875729676216e+23,9.257513750393856e+18
46.0,6.02188658677487e+23,9.333403779606852e+18
46.400000000000006,6.02188560058228e+23,9.409205467441814e+18
46.800000000000004,6.021884614389851e+23,9.484918916718658e+18
47.2,6.021883628197584e+23,9.56054423012496e+18
47.6,6.021882642005478e+23,9.6360815102669e+18
48.0,6.021881655813534e+23,9.711530859585376e+18
48.400000000000006,6.0218806696217514e+23,9.786892380421753e+18
48.800000000000004,6.0218796834301305e+23,9.862166174998276e+18
49.2,6.021878697238671e+23,9.937352345418224e+18
49.6,6.021877711047373e+23,1.001245099366605e+19
50.0,6.021876724856236e+23,1.008746222160752e+19
50.400000000000006,6.021875738665261e+23,1.0162386130989873e+19
50.800000000000004,6.021874752474447e+23,1.0237222823441945e+19
51.2,6.021873766283795e+23,1.0311972400474327e+19
51.6,6.0218727800933045e+23,1.038663496347951e+19
